Time (sec), Heater 1 (%), Temperature 1 (degC)
3.631457145214080811e+02,2.000000000000000000e+01,8.218000000000000682e+01
3.641480782032012939e+02,2.000000000000000000e+01,8.231999999999999318e+01
3.651466124057769775e+02,2.000000000000000000e+01,8.242000000000000171e+01
3.661492996215820312e+02,2.000000000000000000e+01,8.245000000000000284e+01
3.671467938423156738e+02,2.000000000000000000e+01,8.242000000000000171e+01
3.681507565975189209e+02,2.000000000000000000e+01,8.246999999999999886e+01
3.691502654552459717e+02,2.000000000000000000e+01,8.246999999999999886e+01
3.701526904106140137e+02,2.000000000000000000e+01,8.251999999999999602e+01
3.711478087902069092e+02,2.000000000000000000e+01,8.251999999999999602e+01
3.721495285034179688e+02,2.000000000000000000e+01,8.268999999999999773e+01
3.731520254611968994e+02,2.000000000000000000e+01,8.285999999999999943e+01
3.741526749134063721e+02,2.000000000000000000e+01,8.289000000000000057e+01
3.751555280685424805e+02,2.000000000000000000e+01,8.295999999999999375e+01
3.761575865745544434e+02,2.000000000000000000e+01,8.293000000000000682e+01
3.771585593223571777e+02,2.000000000000000000e+01,8.298000000000000398e+01
3.781589758396148682e+02,2.000000000000000000e+01,8.298000000000000398e+01
3.791604273319244385e+02,2.000000000000000000e+01,8.301000000000000512e+01
3.801580805778503418e+02,2.000000000000000000e+01,8.303000000000000114e+01
3.811625137329101562e+02,2.000000000000000000e+01,8.320000000000000284e+01
3.821599054336547852e+02,2.000000000000000000e+01,8.334999999999999432e+01
3.831510505676269531e+02,2.000000000000000000e+01,8.342000000000000171e+01
3.841536920070648193e+02,2.000000000000000000e+01,8.342000000000000171e+01
